Team,Win,Draw,Lost,Goals Scored,Goals Missed,Points,Position,Season
Sevilla,21,9,8,69,49,72,4,2016-2017
Villarreal,19,10,9,56,33,67,5,2016-2017
Real Sociedad,19,7,12,59,53,64,6,2016-2017
Athletic de Bilbao,19,6,13,53,43,63,7,2016-2017
Espanyol,15,11,12,49,50,56,8,2016-2017
Deportivo Alaves,14,13,11,41,43,55,9,2016-2017
Eibar,15,9,14,56,51,54,10,2016-2017
Valencia,13,7,18,56,65,46,11,2016-2017
Malaga,12,10,16,49,55,46,12,2016-2017
Celta,13,6,19,53,69,45,13,2016-2017
Las Palmas,10,9,19,53,74,39,14,2016-2017
Real Betis Balompie,10,9,19,41,64,39,15,2016-2017
Deportivo,8,12,18,43,61,36,16,2016-2017
Leganes,8,11,19,36,55,35,17,2016-2017
Sporting de Gijon,7,10,21,42,72,31,18,2016-2017
Osasuna,4,10,24,40,94,22,19,2016-2017
Granada,4,8,26,30,82,20,20,2016-2017
Barcelona,28,9,1,99,29,93,1,2017-2018
Atletico de Madrid,23,10,5,58,22,79,2,2017-2018
Real Madrid,22,10,6,94,44,76,3,2017-2018
Valencia,22,7,9,65,38,73,4,2017-2018
Villarreal,18,7,13,57,50,61,5,2017-2018
Real Betis Balompie,18,6,14,60,61,60,6,2017-2018
Sevilla,17,7,14,49,58,58,7,2017-2018
Getafe,15,10,13,42,33,55,8,2017-2018
Eibar,14,9,15,44,50,51,9,2017-2018
Girona,14,9,15,50,59,51,10,2017-2018
Celta,13,10,15,59,60,49,11,2017-2018
Espanyol,12,13,13,36,42,49,12,2017-2018
Real Sociedad,14,7,17,66,59,49,13,2017-2018
Deportivo Alaves,15,2,21,40,50,47,14,2017-2018
Levante,11,13,14,44,58,46,15,2017-2018
Athletic de Bilbao,10,13,15,41,49,43,16,2017-2018
Leganes,12,7,19,34,51,43,17,2017-2018
Deportivo,6,11,21,38,76,29,18,2017-2018
Las Palmas,5,7,26,24,74,22,19,2017-2018
Malaga,5,5,28,24,61,20,20,2017-2018
Barcelona,26,9,3,90,36,87,1,2018-2019
Atletico de Madrid,22,10,6,55,29,76,2,2018-2019
Real Madrid,21,5,12,63,46,68,3,2018-2019
Valencia,15,16,7,51,35,61,4,2018-2019
Getafe,15,14,9,48,35,59,5,2018-2019
Sevilla,17,8,13,62,47,59,6,2018-2019
Espanyol,14,11,13,48,50,53,7,2018-2019
Athletic de Bilbao,13,14,11,41,45,53,8,2018-2019
Real Betis Balompie,14,8,16,44,52,50,9,2018-2019
Deportivo Alaves,13,11,14,39,50,50,10,2018-2019
Real Sociedad,13,11,14,45,46,50,11,2018-2019
Eibar,11,14,13,46,50,47,12,2018-2019
Leganes,11,12,15,37,43,45,13,2018-2019
Villarreal,10,14,14,49,52,44,14,2018-2019
Levante,11,11,16,59,66,44,15,2018-2019
Real Valladolid,10,11,17,32,51,41,16,2018-2019
Celta,10,11,17,53,62,41,17,2018-2019
Girona,9,10,19,37,53,37,18,2018-2019
Huesca,7,12,19,43,65,33,19,2018-2019
Rayo Vallecano,8,8,22,41,70,32,20,2018-2019
